p,propLabel,eff
http://www.wikidata.org/prop/direct/P106,occupation,1199
http://www.wikidata.org/prop/direct/P69,scolarité,691
http://www.wikidata.org/prop/direct/P108,employé(e) par,659
http://www.wikidata.org/prop/direct/P735,prénom,616
http://www.wikidata.org/prop/direct/P1412,"langues parlées, écrites ou signées",551
http://www.wikidata.org/prop/direct/P27,pays de nationalité,533
http://www.wikidata.org/prop/direct/P569,date de naissance,510
http://www.wikidata.org/prop/direct/P31,nature de l'élément,504
http://www.wikidata.org/prop/direct/P21,sexe ou genre,503
http://www.wikidata.org/prop/direct/P734,nom de famille,411
http://www.wikidata.org/prop/direct/P19,lieu de naissance,359
http://www.wikidata.org/prop/direct/P2671,identifiant du Google Knowledge Graph,246
http://www.wikidata.org/prop/direct/P463,membre de,229
http://www.wikidata.org/prop/direct/P39,fonction,198
http://www.wikidata.org/prop/direct/P6634,identifiant LinkedIn d'un profil,189
http://www.wikidata.org/prop/direct/P166,distinction reçue,188
http://www.wikidata.org/prop/direct/P1343,décrit par,175
http://www.wikidata.org/prop/direct/P4939,identifiant VERIF,164
http://www.wikidata.org/prop/direct/P5337,identifiant Google Actualités d'un sujet,160
http://www.wikidata.org/prop/direct/P4942,identifiant Societe.com d'un dirigeant,148
http://www.wikidata.org/prop/direct/P18,image,124
http://www.wikidata.org/prop/direct/P103,langue maternelle,123
http://www.wikidata.org/prop/direct/P646,identifiant Freebase,122
http://www.wikidata.org/prop/direct/P2002,identifiant X d'un compte,107
http://www.wikidata.org/prop/direct/P1344,participant ou participante à,106
http://www.wikidata.org/prop/direct/P101,domaine d'activité,102
http://www.wikidata.org/prop/direct/P4124,identifiant Who's Who in France,96
http://www.wikidata.org/prop/direct/P214,identifiant VIAF,94
http://www.wikidata.org/prop/direct/P373,catégorie Commons,83
http://www.wikidata.org/prop/direct/P5297,identifiant Companies House d'un officier,78
http://www.wikidata.org/prop/direct/P570,date de mort,75
http://www.wikidata.org/prop/direct/P1268,représente,71
http://www.wikidata.org/prop/direct/P7845,Identifiant MarketScreener,70
http://www.wikidata.org/prop/direct/P213,identifiant ISNI,60
http://www.wikidata.org/prop/direct/P13253,identifiant Pappers d'un dirigeant,60
http://www.wikidata.org/prop/direct/P3368,identifiant Prabook,58
http://www.wikidata.org/prop/direct/P6621,identifiant Le Figaro d'un sujet,55
http://www.wikidata.org/prop/direct/P973,décrit à  l'URL,51
http://www.wikidata.org/prop/direct/P5008,projet Wikimédia s’intéressant à l'élément,51
http://www.wikidata.org/prop/direct/P269,identifiant IdRef,50
http://www.wikidata.org/prop/direct/P4434,identifiant La Documentation permanente,49
http://www.wikidata.org/prop/direct/P268,identifiant Bibliothèque  nationale de France,42
http://www.wikidata.org/prop/direct/P40,enfant,41
http://www.wikidata.org/prop/direct/P6424,description de l'affiliation,41
http://www.wikidata.org/prop/direct/P22,père,40
http://www.wikidata.org/prop/direct/P1559,nom dans la langue maternelle de la personne,39
http://www.wikidata.org/prop/direct/P1477,nom de naissance,37
http://www.wikidata.org/prop/direct/P3052,identifiant Bloomberg d'une personne,36
http://www.wikidata.org/prop/direct/P4789,identifiant Who's Who UK,36
http://www.wikidata.org/prop/direct/P20,lieu de mort,35
http://www.wikidata.org/prop/direct/P2087,identifiant Crunchbase d'une personne,35
http://www.wikidata.org/prop/direct/P8687,nombre d'abonnés d'un média social,35
http://www.wikidata.org/prop/direct/P856,site officiel,33
http://www.wikidata.org/prop/direct/P1327,partenaire professionnel ou sportif,33
http://www.wikidata.org/prop/direct/P2003,identifiant Instagram d'un profil,32
http://www.wikidata.org/prop/direct/P2013,identifiant Facebook,32
http://www.wikidata.org/prop/direct/P553,a un compte sur,31
http://www.wikidata.org/prop/direct/P10832,identifiant WorldCat Entities,31
http://www.wikidata.org/prop/direct/P1889,à  ne pas confondre avec,30
http://www.wikidata.org/prop/direct/P551,résidence,29
http://www.wikidata.org/prop/direct/P1416,affilié à ,29
http://www.wikidata.org/prop/direct/P244,identifiant Bibliothèque du Congrès,26
http://www.wikidata.org/prop/direct/P26,conjoint ou conjointe,25
http://www.wikidata.org/prop/direct/P345,identifiant Internet Movie Database (IMDb),24
http://www.wikidata.org/prop/direct/P227,identifiant GND (DNB),24
http://www.wikidata.org/prop/direct/P1038,membre de la famille,22
http://www.wikidata.org/prop/direct/P641,sport,21
http://www.wikidata.org/prop/direct/P3373,"	frère ou sœur",20
http://www.wikidata.org/prop/direct/P1284,identifiant Munzinger,19
http://www.wikidata.org/prop/direct/P6104,maintenu par le wikiprojet,19
http://www.wikidata.org/prop/direct/P2963,identifiant Goodreads d'un auteur,18
http://www.wikidata.org/prop/direct/P6620,identifiant L'Express,18
http://www.wikidata.org/prop/direct/P800,œuvre notable,17
http://www.wikidata.org/prop/direct/P25,mère,16
http://www.wikidata.org/prop/direct/P4638,identifiant The Peerage,16
http://www.wikidata.org/prop/direct/P4862,identifiant Amazon d'un auteur,16
http://www.wikidata.org/prop/direct/P102,parti politique,15
http://www.wikidata.org/prop/direct/P3065,identifiant RERO,14
http://www.wikidata.org/prop/direct/P6886,langues d'écriture,14
http://www.wikidata.org/prop/direct/P8179,"	identifiant d’autorité de noms Canadiana",14
http://www.wikidata.org/prop/direct/P1006,identifiant Bibliothèque royale des Pays-Bas,13
http://www.wikidata.org/prop/direct/P3222,identifiant Nationalencyklopedin,13
http://www.wikidata.org/prop/direct/P3388,identifiant LittleSis d'une personne,13
http://www.wikidata.org/prop/direct/P6872,rédacteur ou rédactrice à ,13
http://www.wikidata.org/prop/direct/P1971,nombre d'enfants,12
http://www.wikidata.org/prop/direct/P3630,identifiant Babelio d'un auteur,12
http://www.wikidata.org/prop/direct/P4012,identifiant Semantic Scholar d'un auteur,12
http://www.wikidata.org/prop/direct/P4527,"	identifiant Thésaurus du Parlement du Royaume-Uni",12
http://www.wikidata.org/prop/direct/P119,lieu de sépulture,11
http://www.wikidata.org/prop/direct/P512,diplôme universitaire,11
http://www.wikidata.org/prop/direct/P906,identifiant SELIBR,11
http://www.wikidata.org/prop/direct/P937,lieu de travail,11
http://www.wikidata.org/prop/direct/P1263,identifiant Notable Names Database,11
http://www.wikidata.org/prop/direct/P1617,identifiant BBC Things,11
http://www.wikidata.org/prop/direct/P2581,identifiant BabelNet,11
http://www.wikidata.org/prop/direct/P4369,identifiant Cairn d'un auteur,11
http://www.wikidata.org/prop/direct/P5587,identifiant Libris,11
http://www.wikidata.org/prop/direct/P9058,Identifiant personnes décédées (matchID),11
http://www.wikidata.org/prop/direct/P9885,identifiant Bing,11
http://www.wikidata.org/prop/direct/P2600,identifiant Geni.com,10
http://www.wikidata.org/prop/direct/P7502,identifiant Golden,10
http://www.wikidata.org/prop/direct/P8189,"	identifiant J9U de la Bibliothèque nationale d'Israël",10
http://www.wikidata.org/prop/direct/P10632,identifiant OpenSanctions,10
http://www.wikidata.org/prop/direct/P1207,identifiant NUKAT,9
http://www.wikidata.org/prop/direct/P2218,situation nette,9
http://www.wikidata.org/prop/direct/P410,grade militaire ou de la police,8
http://www.wikidata.org/prop/direct/P648,identifiant Open Library,8
http://www.wikidata.org/prop/direct/P3899,identifiant Medium,8
http://www.wikidata.org/prop/direct/P4491,identifiant Isidore,8
http://www.wikidata.org/prop/direct/P7293,identifiant Bibliothèque nationale de Pologne,8
http://www.wikidata.org/prop/direct/P10574,identifiant Les Échos,8
http://www.wikidata.org/prop/direct/P10780,identifiant Radio France d'une personne,8
http://www.wikidata.org/prop/direct/P1153,identifiant Scopus d'un auteur,7
http://www.wikidata.org/prop/direct/P1816,identifiant National Portrait Gallery (Royaume-Uni) d'une personne,7
http://www.wikidata.org/prop/direct/P4985,identifiant The Movie Database d'une personne,7
http://www.wikidata.org/prop/direct/P5301,identifiant France Culture (OBSOLÈTE),7
http://www.wikidata.org/prop/direct/P10849,identifiant Beamish peerage database,7
http://www.wikidata.org/prop/direct/P10874,identifiant gov.uk d'une personne,7
http://www.wikidata.org/prop/direct/P509,cause de la mort,6
http://www.wikidata.org/prop/direct/P691,identifiant Bibliothèque nationale tchèque,6
http://www.wikidata.org/prop/direct/P742,pseudonyme,6
http://www.wikidata.org/prop/direct/P1196,circonstances de la mort,6
http://www.wikidata.org/prop/direct/P1266,identifiant AlloCiné nom,6
http://www.wikidata.org/prop/direct/P2031,début de la période d'activité,6
http://www.wikidata.org/prop/direct/P2397,identifiant de chaîne  YouTube,6
http://www.wikidata.org/prop/direct/P3602,candidate ou candidat à l'élection,6
http://www.wikidata.org/prop/direct/P3417,identifiant Quora d'un sujet,6
http://www.wikidata.org/prop/direct/P6821,identifiant Alvin,6
http://www.wikidata.org/prop/direct/P7400,identifiant LibraryThing d'un auteur,6
http://www.wikidata.org/prop/direct/P9371,identifiant FranceArchives agent,6
http://www.wikidata.org/prop/direct/P54,membre de l'équipe de sport,5
http://www.wikidata.org/prop/direct/P496,identifiant ORCID,5
http://www.wikidata.org/prop/direct/P1830,propriétaire de,5
http://www.wikidata.org/prop/direct/P2070,identifiant Royal Society,5
http://www.wikidata.org/prop/direct/P2949,identifiant WikiTree,5
http://www.wikidata.org/prop/direct/P4819,"	identifiant Svenskt Porträttarkiv",5
http://www.wikidata.org/prop/direct/P6213,identifiant Parlement du Royaume-Uni (bêta),5
http://www.wikidata.org/prop/direct/P10428,identifiant parliament.uk,5
http://www.wikidata.org/prop/direct/P11249,identifiant d’autorité Bibliothèque royale de Belgique,5
http://www.wikidata.org/prop/direct/P11841,identifiant Challenges,5
http://www.wikidata.org/prop/direct/P12098,identifiant Kinobox.cz d'une personne,5
http://www.wikidata.org/prop/direct/P53,"famille, dynastie ou maison noble",4
http://www.wikidata.org/prop/direct/P97,titre de noblesse,4
http://www.wikidata.org/prop/direct/P271,identifiant NACSIS-CAT d'un auteur,4
http://www.wikidata.org/prop/direct/P184,directeur ou directrice de thèse,4
http://www.wikidata.org/prop/direct/P396,identifiant SBN d'un auteur,4
http://www.wikidata.org/prop/direct/P434,identifiant MusicBrainz d'un artiste,4
http://www.wikidata.org/prop/direct/P640,cote Léonore,4
http://www.wikidata.org/prop/direct/P1015,identifiant BIBSYS d'une personne,4
http://www.wikidata.org/prop/direct/P2168,identifiant Svensk Filmdatabas d'une personne,4
http://www.wikidata.org/prop/direct/P2015,identifiant Hansard 1803–2005,4
http://www.wikidata.org/prop/direct/P3040,identifiant SoundCloud,4
http://www.wikidata.org/prop/direct/P3154,identifiant Projet Runeberg d'un auteur,4
http://www.wikidata.org/prop/direct/P3814,identifiant The Business of Fashion,4
http://www.wikidata.org/prop/direct/P4285,identifiant theses.fr,4
http://www.wikidata.org/prop/direct/P3980,identifiant Unifrance d'une personne,4
http://www.wikidata.org/prop/direct/P5298,identifiant Webb-site de personne,4
http://www.wikidata.org/prop/direct/P6200,identifiant BBC News d'un sujet d'actualité,4
http://www.wikidata.org/prop/direct/P10199,identifiant F6S,4
http://www.wikidata.org/prop/direct/P10306,identifiant North Data,4
http://www.wikidata.org/prop/direct/P11152,identifiant web Léonore,4
http://www.wikidata.org/prop/direct/P11245,indicateur YouTube,4
http://www.wikidata.org/prop/direct/P11496,identifiant CiNii Research,4
http://www.wikidata.org/prop/direct/P793,événement clé,3
http://www.wikidata.org/prop/direct/P859,sponsor ou mécène,3
http://www.wikidata.org/prop/direct/P1248,identifiant KulturNav,3
http://www.wikidata.org/prop/direct/P1280,identifiant CONOR.SI,3
http://www.wikidata.org/prop/direct/P1315,identifiant NLA Trove,3
http://www.wikidata.org/prop/direct/P1442,image de la tombe,3
http://www.wikidata.org/prop/direct/P2171,identifiant TheyWorkForYou,3
http://www.wikidata.org/prop/direct/P2650,intéressé(e) par,3
http://www.wikidata.org/prop/direct/P3537,identifiant FootballDatabase.eu,3
http://www.wikidata.org/prop/direct/P4342,identifiant Store norske leksikon,3
http://www.wikidata.org/prop/direct/P3987,identifiant SHARE Catalogue,3
http://www.wikidata.org/prop/direct/P6023,identifiant ResearchGate d'un auteur non enregistrÃ©,3
http://www.wikidata.org/prop/direct/P6231,identifiant Base de données des élites suisses,3
http://www.wikidata.org/prop/direct/P6366,identifiant Microsoft Academic,3
http://www.wikidata.org/prop/direct/P7176,identifiant d'un profil XING,3
http://www.wikidata.org/prop/direct/P7763,statut des droits d'auteur du créateur,3
http://www.wikidata.org/prop/direct/P7847,identifiant DigitaltMuseum,3
http://www.wikidata.org/prop/direct/P8286,identifiant Olympedia d'une personne,3
http://www.wikidata.org/prop/direct/P8309,identifiant Yle,3
http://www.wikidata.org/prop/direct/P12192,P12192,3
http://www.wikidata.org/prop/direct/P94,image du blason,2
http://www.wikidata.org/prop/direct/P112,fondé par,2
http://www.wikidata.org/prop/direct/P140,religion ou conception du monde,2
http://www.wikidata.org/prop/direct/P413,position de jeu ou spécialité,2
http://www.wikidata.org/prop/direct/P409,identifiant Bibliothèque nationale d'Australie,2
http://www.wikidata.org/prop/direct/P511,titre honorifique,2
http://www.wikidata.org/prop/direct/P945,allégeance envers,2
http://www.wikidata.org/prop/direct/P950,identifiant Bibliothèque nationale d'Espagne,2
http://www.wikidata.org/prop/direct/P1005,identifiant Bibliothèque nationale du Portugal,2
http://www.wikidata.org/prop/direct/P1045,identifiant Sycomore,2
http://www.wikidata.org/prop/direct/P1066,élève de,2
http://www.wikidata.org/prop/direct/P1260,"identifiant K-identifiant K-samsök	",2
http://www.wikidata.org/prop/direct/P1258,identifiant Rotten Tomatoes,2
http://www.wikidata.org/prop/direct/P1303,instrument de musique pratiqué,2
http://www.wikidata.org/prop/direct/P1368,identifiant Bibliothèque nationale de Lettonie,2
http://www.wikidata.org/prop/direct/P1415,identifiant Oxford Dictionary of National Biography,2
http://www.wikidata.org/prop/direct/P1447,identifiant Sports Reference (archivé),2
http://www.wikidata.org/prop/direct/P1581,blog officiel,2
http://www.wikidata.org/prop/direct/P1801,image de plaque commémorative,2
http://www.wikidata.org/prop/direct/P1808,identifiant Sénat (France),2
http://www.wikidata.org/prop/direct/P1819,identifiant Genealogics,2
http://www.wikidata.org/prop/direct/P2038,identifiant ResearchGate d'un auteur enregistré,2
http://www.wikidata.org/prop/direct/P2037,identifiant GitHub,2
http://www.wikidata.org/prop/direct/P2048,hauteur,2
