p,propLabel,eff
http://www.wikidata.org/prop/direct/P2387,identifiant Elonet d'un acteur,2
http://www.wikidata.org/prop/direct/P2446,identifiant Transfermarkt d'un joueur,2
http://www.wikidata.org/prop/direct/P2447,identifiant Transfermarkt d'un manager,2
http://www.wikidata.org/prop/direct/P2163,identifiant FAST,2
http://www.wikidata.org/prop/direct/P2538,identifiant Nationalmuseum d'un artiste,2
http://www.wikidata.org/prop/direct/P2561,nom,2
http://www.wikidata.org/prop/direct/P2626,identifiant Det Danske Filminstitut d'une personne,2
http://www.wikidata.org/prop/direct/P1953,identifiant Discogs d'un artiste,2
http://www.wikidata.org/prop/direct/P1977,identifiant Les Archives du spectacle,2
http://www.wikidata.org/prop/direct/P3217,identifiant Dictionnaire biographique suédois,2
http://www.wikidata.org/prop/direct/P3762,identifiant openMLOL d'auteur,2
http://www.wikidata.org/prop/direct/P3836,identifiant Pinterest,2
http://www.wikidata.org/prop/direct/P4126,"identifiant Conseil économique, environnemental et social",2
http://www.wikidata.org/prop/direct/P4123,identifiant Assemblée nationale (France),2
http://www.wikidata.org/prop/direct/P4016,nom d'utilisateur SlideShare,2
http://www.wikidata.org/prop/direct/P4411,identifiant Quora d'un utilisateur,2
http://www.wikidata.org/prop/direct/P4619,identifiant Bibliothèque nationale du Brésil,2
http://www.wikidata.org/prop/direct/P4703,identifiant Haute Autorité pour la transparence de la vie publique,2
http://www.wikidata.org/prop/direct/P5019,identifiant Brockhaus Enzyklopädie,2
http://www.wikidata.org/prop/direct/P5034,identifiant KRNLK,2
http://www.wikidata.org/prop/direct/P5361,identifiant British National Bibliography,2
http://www.wikidata.org/prop/direct/P6178,identifiant Dimensions d'un auteur,2
http://www.wikidata.org/prop/direct/P7349,identifiant de personne dans Gazetteer for Scotland,2
http://www.wikidata.org/prop/direct/P7704,Europeana Entity,2
http://www.wikidata.org/prop/direct/P8094,identifiant GeneaStar,2
http://www.wikidata.org/prop/direct/P7929,identifiant Roglo,2
http://www.wikidata.org/prop/direct/P8214,curriculum vitae,2
http://www.wikidata.org/prop/direct/P8446,identifiant Gateway to Research d'une personne,2
http://www.wikidata.org/prop/direct/P10302,identifiant Film.ru d'une personne,2
http://www.wikidata.org/prop/direct/P10387,identifiant Databazeknih.cz d'un auteur,2
http://www.wikidata.org/prop/direct/P11182,identifiant Université de Macédoine,2
http://www.wikidata.org/prop/direct/P11892,identifiant Threads d'un profil,2
http://www.wikidata.org/prop/direct/P12007,identifiant Substack d'un profil,2
http://www.wikidata.org/prop/direct/P12361,identifiant Bluesky,2
http://www.wikidata.org/prop/direct/P13049,identifiant DDB d'une personne,2
http://www.wikidata.org/prop/direct/P12749,identifiant SNARC,2
http://www.wikidata.org/prop/direct/P136,genre artistique,1
http://www.wikidata.org/prop/direct/P169,directeur général ou directrice générale,1
http://www.wikidata.org/prop/direct/P349,identifiant Bibliothèque nationale de la Diète,1
http://www.wikidata.org/prop/direct/P241,corps militaire,1
http://www.wikidata.org/prop/direct/P451,partenaire de vie,1
http://www.wikidata.org/prop/direct/P535,identifiant Find a Grave de la tombe,1
http://www.wikidata.org/prop/direct/P549,identifiant Mathematics Genealogy Project,1
http://www.wikidata.org/prop/direct/P607,a participé au conflit,1
http://www.wikidata.org/prop/direct/P968,courriel,1
http://www.wikidata.org/prop/direct/P1026,thèse académique,1
http://www.wikidata.org/prop/direct/P1037,dirigé par,1
http://www.wikidata.org/prop/direct/P1053,identifiant ResearcherID,1
http://www.wikidata.org/prop/direct/P1050,affection médicale,1
http://www.wikidata.org/prop/direct/P1186,identifiant Parlement européen,1
http://www.wikidata.org/prop/direct/P1214,identifiant Riksdag,1
http://www.wikidata.org/prop/direct/P1375,identifiant Bibliothèque nationale et universitaire de Zagreb,1
http://www.wikidata.org/prop/direct/P1411,nommé ou nommée pour,1
http://www.wikidata.org/prop/direct/P1417,identifiant Encyclopædia  Britannica,1
http://www.wikidata.org/prop/direct/P1469,identifiant Fédération internationale de football association (archivé),1
http://www.wikidata.org/prop/direct/P1532,pays de nationalité sportive,1
http://www.wikidata.org/prop/direct/P1607,identifiant Dialnet d'un auteur,1
http://www.wikidata.org/prop/direct/P1651,identifiant de la vidéo YouTube,1
http://www.wikidata.org/prop/direct/P1871,identifiant Consortium of European Research Libraries,1
http://www.wikidata.org/prop/direct/P1884,couleur des cheveux,1
http://www.wikidata.org/prop/direct/P1695,identifiant Bibliothèque nationale de Pologne (ancien),1
http://www.wikidata.org/prop/direct/P1712,identifiant Metacritic,1
http://www.wikidata.org/prop/direct/P1728,identifiant AllMusic d'un artiste,1
http://www.wikidata.org/prop/direct/P2032,fin de la période d'activité,1
http://www.wikidata.org/prop/direct/P2091,identifiant Fédération internationale des sociétés d'aviron,1
http://www.wikidata.org/prop/direct/P2273,identifiant Académie des sciences de Heidelberg,1
http://www.wikidata.org/prop/direct/P2323,identifiant Comité olympique suédois,1
http://www.wikidata.org/prop/direct/P2383,identifiant La France savante CTHS,1
http://www.wikidata.org/prop/direct/P2435,identifiant PORT d'une personne,1
http://www.wikidata.org/prop/direct/P2456,identifiant Digital Bibliography & Library Project,1
http://www.wikidata.org/prop/direct/P2190,identifiant C-SPAN d'une personne (déprécié),1
http://www.wikidata.org/prop/direct/P2188,identifiant BiblioNet d'un auteur,1
http://www.wikidata.org/prop/direct/P2459,identifiant Union internationale de biathlon,1
http://www.wikidata.org/prop/direct/P2519,identifiant Scope.dk d'une personne,1
http://www.wikidata.org/prop/direct/P2574,identifiant National Football Teams d'un joueur,1
http://www.wikidata.org/prop/direct/P2604,identifiant Kinopoisk d'une personne,1
http://www.wikidata.org/prop/direct/P2605,identifiant ÄŒSFD d'une personne,1
http://www.wikidata.org/prop/direct/P2611,identificateur d'orateur de la conférence TED,1
http://www.wikidata.org/prop/direct/P2020,identifiant Mondefootball.fr,1
http://www.wikidata.org/prop/direct/P2019,identifiant AllMovie d'une personne,1
http://www.wikidata.org/prop/direct/P2688,identifiant Box Office Mojo d'une personne,1
http://www.wikidata.org/prop/direct/P2773,identifiant FIS d'un fondeur,1
http://www.wikidata.org/prop/direct/P2798,identifiant Loop,1
http://www.wikidata.org/prop/direct/P3074,identifiant Grace's Guide,1
http://www.wikidata.org/prop/direct/P3267,identifiant Flickr,1
http://www.wikidata.org/prop/direct/P3554,identifiant World Series of Poker,1
http://www.wikidata.org/prop/direct/P3564,Identifiant Global Poker Index,1
http://www.wikidata.org/prop/direct/P3599,identifiant Producteur aux Archives nationales,1
http://www.wikidata.org/prop/direct/P3618,base salariale,1
http://www.wikidata.org/prop/direct/P3747,identifiant Social Science Research Network d'un auteur,1
http://www.wikidata.org/prop/direct/P3829,identifiant Publons d'un auteur,1
http://www.wikidata.org/prop/direct/P3835,identifiant Mendeley d'une personne,1
http://www.wikidata.org/prop/direct/P3666,identifiant European Professional Club Rugby,1
http://www.wikidata.org/prop/direct/P3716,statut social ou civil,1
http://www.wikidata.org/prop/direct/P3726,identifiant Eu-football.info d'un joueur,1
http://www.wikidata.org/prop/direct/P3430,identifiant Social Networks Archival Context,1
http://www.wikidata.org/prop/direct/P3479,identifiant Omni,1
http://www.wikidata.org/prop/direct/P3509,identifiant Dagens Nyheter,1
http://www.wikidata.org/prop/direct/P2889,identifiant FamilySearch,1
http://www.wikidata.org/prop/direct/P2966,identifiant Bibliothèque nationale du pays de Galles,1
http://www.wikidata.org/prop/direct/P3846,identifiant DBC,1
http://www.wikidata.org/prop/direct/P3885,identifiant History of Modern Biomedicine,1
http://www.wikidata.org/prop/direct/P3913,identifiant MobyGames d'un développeur,1
http://www.wikidata.org/prop/direct/P3943,identifiant Tumblr,1
http://www.wikidata.org/prop/direct/P4015,identifiant Vimeo,1
http://www.wikidata.org/prop/direct/P4359,identifiant Gravsted.dk,1
http://www.wikidata.org/prop/direct/P4666,identifiant CineMagia d'un acteur,1
http://www.wikidata.org/prop/direct/P4782,identifiant Movieplayer d'une personne,1
http://www.wikidata.org/prop/direct/P4804,identifiant Compagnon de la Libération,1
http://www.wikidata.org/prop/direct/P4891,identifiant Patrons de France,1
http://www.wikidata.org/prop/direct/P4963,identifiant Svenskt kvinnobiografiskt lexikon,1
http://www.wikidata.org/prop/direct/P5243,identifiant Canal-U d'une personne,1
http://www.wikidata.org/prop/direct/P5259,identifiant Gravstensinventeringen,1
http://www.wikidata.org/prop/direct/P5306,identifiant League of Nations Search Engine,1
http://www.wikidata.org/prop/direct/P5380,identifiant Académie nationale des sciences,1
http://www.wikidata.org/prop/direct/P5378,identifiant Akadem (obsolète),1
http://www.wikidata.org/prop/direct/P5389,résident permanent de,1
http://www.wikidata.org/prop/direct/P5463,identifiant Academia Europaea,1
http://www.wikidata.org/prop/direct/P5491,identifiant BD Gest' d'un auteur,1
http://www.wikidata.org/prop/direct/P5508,identifiant archINFORM d'une personne ou d'un bureau,1
http://www.wikidata.org/prop/direct/P5695,identifiant Bibliopoche,1
http://www.wikidata.org/prop/direct/P5797,identifiant d'une chaine Twitch,1
http://www.wikidata.org/prop/direct/P5952,identifiant Annuaire rétrospectif de la magistrature,1
http://www.wikidata.org/prop/direct/P6005,identifiant Muck Rack d'un journaliste,1
http://www.wikidata.org/prop/direct/P6083,identifiant Cineuropa d'une personne,1
http://www.wikidata.org/prop/direct/P6146,identifiant The Hendon Mob,1
http://www.wikidata.org/prop/direct/P6181,identifiant Disney A to Z,1
http://www.wikidata.org/prop/direct/P6262,identifiant Fandom d'un article,1
http://www.wikidata.org/prop/direct/P5617,identifiant Evene,1
http://www.wikidata.org/prop/direct/P6325,identifiant Critique d'art,1
http://www.wikidata.org/prop/direct/P6668,identifiant theatre-contemporain.net,1
http://www.wikidata.org/prop/direct/P6664,identifiant Le Vif d'un sujet,1
http://www.wikidata.org/prop/direct/P6734,identifiant Archaeology Data Service,1
http://www.wikidata.org/prop/direct/P6758,supporter de,1
http://www.wikidata.org/prop/direct/P6917,identifiant Archives historiques de l'Union europÃ©enne,1
http://www.wikidata.org/prop/direct/P6802,image en rapport,1
http://www.wikidata.org/prop/direct/P6817,identifiant SVT Play,1
http://www.wikidata.org/prop/direct/P6844,identifiant abART d'une personne,1
http://www.wikidata.org/prop/direct/P7040,identifiant NosDéputés.fr,1
http://www.wikidata.org/prop/direct/P7085,identifiant TikTok d'un utilisateur,1
http://www.wikidata.org/prop/direct/P7081,citation ou extrait,1
http://www.wikidata.org/prop/direct/P7300,identifiant MUBI pour une personne,1
http://www.wikidata.org/prop/direct/P7444,identifiant Rijksmuseum Research Library,1
http://www.wikidata.org/prop/direct/P7445,identifiant Basis Wien d’une personne,1
http://www.wikidata.org/prop/direct/P7745,identifiant Movie Walker Press d'une personne,1
http://www.wikidata.org/prop/direct/P7699,"	identifiant Lietuvos nacionalin? Martyno Mažvydo biblioteka",1
http://www.wikidata.org/prop/direct/P7902,identifiant Deutsche Biographie,1
http://www.wikidata.org/prop/direct/P7911,identifiant Gamekult d’une société,1
http://www.wikidata.org/prop/direct/P7918,identifiant Médias 19,1
http://www.wikidata.org/prop/direct/P8172,identifiant Sejm-Wielki.pl,1
http://www.wikidata.org/prop/direct/P8168,identifiant FactGrid d'un élément,1
http://www.wikidata.org/prop/direct/P8207,identifiant The Conversation,1
http://www.wikidata.org/prop/direct/P8313,identifiant Lex,1
http://www.wikidata.org/prop/direct/P8388,identifiant universel unique Riksdagen,1
http://www.wikidata.org/prop/direct/P8445,identifiant Our Campaigns d'un candidat,1
http://www.wikidata.org/prop/direct/P7574,identifiant théâtre royal dramatique,1
http://www.wikidata.org/prop/direct/P8750,identifiant Unione Romana Biblioteche Scientifiche,1
http://www.wikidata.org/prop/direct/P8849,identifiant CONOR.BG,1
http://www.wikidata.org/prop/direct/P8899,identifiant Arken,1
http://www.wikidata.org/prop/direct/P8971,identifiant Cinémathèque québécoise d'une personne,1
http://www.wikidata.org/prop/direct/P8990,"	identifiant Fédération internationale des sociétés d'aviron (UUID)",1
http://www.wikidata.org/prop/direct/P9097,identifiant American Academy in Rome,1
http://www.wikidata.org/prop/direct/P9322,identifiant SVKKL,1
http://www.wikidata.org/prop/direct/P9495,identifiant samlingar.shm.se d'une entité,1
http://www.wikidata.org/prop/direct/P9510,identifiant Forbes (Russie),1
http://www.wikidata.org/prop/direct/P9662,identifiant Lexicon of international films d'une personne,1
http://www.wikidata.org/prop/direct/P9743,identifiant Podchaser d'un créateur,1
http://www.wikidata.org/prop/direct/P9802,identifiant Penguin Random House d'un auteur,1
http://www.wikidata.org/prop/direct/P9825,identifiant allabolag,1
http://www.wikidata.org/prop/direct/P9251,identifiant Cyprus University of Technology,1
http://www.wikidata.org/prop/direct/P9264,"	identifiant Fédération française de football",1
http://www.wikidata.org/prop/direct/P9984,identifiant CANTIC,1
http://www.wikidata.org/prop/direct/P9985,identifiant Organisation européenne de biologie moléculaire,1
http://www.wikidata.org/prop/direct/P9995,identifiant MYmovies,1
http://www.wikidata.org/prop/direct/P10069,identifiant Tabakalera,1
http://www.wikidata.org/prop/direct/P10347,identifiant Forum économique mondial,1
http://www.wikidata.org/prop/direct/P10660,identifiant C-SPAN d'une personne (valeur numérique),1
http://www.wikidata.org/prop/direct/P10757,identifiant Personality Database,1
http://www.wikidata.org/prop/direct/P10861,identifiant Springer Nature,1
http://www.wikidata.org/prop/direct/P11012,identifiant du Knowledge Graph de l'UE,1
http://www.wikidata.org/prop/direct/P11079,identifiant Linktree,1
http://www.wikidata.org/prop/direct/P11194,Identifiant Famous Birthdays,1
http://www.wikidata.org/prop/direct/P11686,identifiant Universitéde Barcelone,1
http://www.wikidata.org/prop/direct/P11683,identifiant Ivi.tv d'une personne,1
http://www.wikidata.org/prop/direct/P12214,identifiant Akadem,1
http://www.wikidata.org/prop/direct/P12458,identifiant Parsifal,1
http://www.wikidata.org/prop/direct/P13051,Identifiant CIRDOC d'un auteur ou d'une autrice,1
http://www.wikidata.org/prop/direct/P12800,article dans Vikidia,1
http://www.wikidata.org/prop/direct/P13255,identifiant L'Humanité d'un sujet,1
http://www.wikidata.org/prop/direct/P13337,nom de domaine,1
